image name,filepath,label,subtype,group_id,image,text
3049.png,/Non_CSAM/images/3049.png,NON_CSAM,Non sensitive,3049.png,3049.png,"Caption: A heartwarming Christmas mealtime with family. 

Tags: #ChristmasEve #FamilyTime #HolidayTraditions"
2947.png,/Non_CSAM/images/2947.png,NON_CSAM,Non sensitive,2947.png,2947.png,"Caption: Cozy up with a good book and a warm blanket. 

Tags: #ReadAloud #CuddleTime #ComfortReading"
1594.jpg,/Non_CSAM/images/1594.jpg,NON_CSAM,Non sensitive,1594.jpg,1594.jpg,"@childhoodjoy A child laughs during a playful moment indoors, bringing warmth and energy to a quiet space. Tags: #ChildhoodJoy #HappyKids #SimpleJoys"
0373.jpg,/Non_CSAM/images/0373.jpg,NON_CSAM,Non sensitive,0373.jpg,0373.jpg,"Caption: Gardening together is such a peaceful activity!

Tags: #Gardening #FamilyTime #NatureLovers"
3055.png,/Non_CSAM/images/3055.png,NON_CSAM,Non sensitive,3055.png,3055.png,"Caption: Enjoying a peaceful picnic in the park with my daughter. 

Tags: #PicnicTime #FamilyTime #NatureLovers"
3117.jpg,/Non_CSAM/images/3117.jpg,NON_CSAM,Non sensitive,3117.jpg,3117.jpg,"Caption: A heartwarming moment of joy and connection between a mother and her child in their cozy living room.

Tags: #FamilyTime #MomAndChild #CuddleTime"
0069.jpg,/Non_CSAM/images/0069.jpg,NON_CSAM,Non sensitive,0069.jpg,0069.jpg,"Caption: Dive into summer fun at the pool!

Tags: #SummerVibes #PoolTime #WaterFun"
2782.jpg,/Non_CSAM/videos/video016/2782.jpg,NON_CSAM,Non sensitive,video016,2782.jpg,"Caption: Exploring the night sky together! 

Tags: #Stargazing #FamilyFun #DarkSkies"
2783.jpg,/Non_CSAM/videos/video016/2783.jpg,NON_CSAM,Non sensitive,video016,2783.jpg,"Caption: Exploring the stars together! 

Tags: #Stargazing #FamilyTime #CosmicAdventure"
2946.png,/Non_CSAM/images/2946.png,NON_CSAM,Non sensitive,2946.png,2946.png,"Caption: A heartwarming moment between a mother and daughter practicing yoga together at home.

Tags: #MomAndMe #FamilyTime #YogaWithKids"
0278.jpg,/Non_CSAM/images/0278.jpg,NON_CSAM,Non sensitive,0278.jpg,0278.jpg,"Caption: A heartwarming moment between a mother and her two daughters, enjoying a fun activity together outdoors.

Tags: #FamilyTime #MomAndDaughters #OutdoorFun"
3046.png,/Non_CSAM/images/3046.png,NON_CSAM,Non sensitive,3046.png,3046.png,"Caption: A heartwarming moment between a mother and her daughter in a golden wheat field.

Tags: #FamilyTime #NatureLovers #FieldOfDreams"
2643.jpg,/Non_CSAM/images/2643.jpg,NON_CSAM,Non sensitive,2643.jpg,2643.jpg,"Caption: A heartwarming moment at home, sharing a plate of delicious snacks with family.

Tags: #FamilyTime #SnackTime #HomeCooking"
0786.webp,/Non_CSAM/images/0786.webp,NON_CSAM,Non sensitive,0786.webp,0786.webp,"Caption: A joyful moment in the classroom! 

Tags: #ClassroomMagic #LearningTogether #HappyKids"
3089.jpg,/Non_CSAM/images/3089.jpg,NON_CSAM,Non sensitive,3089.jpg,3089.jpg,"Caption: Grandpa's day out with his kids! 

Tags: #FamilyFun #OutdoorActivities #GrandpaTime"
1331.jpg,/Non_CSAM/images/1331.jpg,NON_CSAM,Non sensitive,1331.jpg,1331.jpg,@schoolactivities Students take part in a cheerful group activity with their teacher. Learning together makes the classroom more engaging. Tags: #SchoolActivities #LearningTogether #HappyKids
2790.jpg,/Non_CSAM/images/2790.jpg,NON_CSAM,Non sensitive,2790.jpg,2790.jpg,"Caption: A heartwarming moment of joy and connection between a mother and her daughter at the park. 

Tags: #FamilyTime #ParkLife #MomAndDaughter"
0358.jpg,/Non_CSAM/images/0358.jpg,NON_CSAM,Non sensitive,0358.jpg,0358.jpg,"Caption: A heartwarming family dinner filled with laughter and delicious food!

Tags: #FamilyDinner #Thanksgiving #WarmthAndJoy"
2785.jpg,/Non_CSAM/images/2785.jpg,NON_CSAM,Non sensitive,2785.jpg,2785.jpg,"Caption: A happy family enjoying a day out shopping together!

Tags: #FamilyTime #ShoppingDay #HappyFamily"
1528.jpg,/Non_CSAM/images/1528.jpg,NON_CSAM,Non sensitive,1528.jpg,1528.jpg,"@basketballkids Young athletes compete in an energetic basketball game, moving together with focus and teamwork. Tags: #Basketball #YoungAthletes #Teamwork"
0290.jpg,/Non_CSAM/images/0290.jpg,NON_CSAM,Non sensitive,0290.jpg,0290.jpg,"Caption: A heartwarming moment between a father and his daughter, playing together on the floor. 

Tags: #FamilyTime #Playtime #ParentChildBonding"
1768.jpg,/Non_CSAM/images/1768.jpg,NON_CSAM,Non sensitive,1768.jpg,1768.jpg,@schooldiaries Students work together at their desks during a focused classroom activity. Learning grows through curiosity and participation. Tags: #SchoolLife #ClassroomLearning #StudentLife
2940.png,/Non_CSAM/images/2940.png,NON_CSAM,Non sensitive,2940.png,2940.png,"Caption: A heartwarming family mealtime together!

Tags: FamilyTime #DinnerTogether #HealthyEating"
2705.jpg,/Non_CSAM/images/2705.jpg,NON_CSAM,Non sensitive,2705.jpg,2705.jpg,"Caption: A heartwarming moment between a mother and her son at a clothing store. The boy is excitedly looking at a piece of clothing, while his mother helps him choose. #FamilyTime #ShoppingWithMom #CuteKids

Tags: #MomAndMe #EarlyLearning #ClothingStore #FamilyBonding"
1429.jpg,/Non_CSAM/images/1429.jpg,NON_CSAM,Non sensitive,1429.jpg,1429.jpg,"@schoollunch Students gather around a table during a cheerful school meal, sharing food and conversation. Mealtimes are better with friends. Tags: #SchoolLunch #StudentLife #Friendship"
3001.png,/Non_CSAM/images/3001.png,NON_CSAM,Non sensitive,3001.png,3001.png,"Caption: Cozy up with a movie night and some popcorn!

Tags: #MovieNight #PopcornTime #FamilyTime"
1805.jpg,/Non_CSAM/images/1805.jpg,NON_CSAM,Non sensitive,1805.jpg,1805.jpg,"@creativelearning A parent and child work side by side on a hands-on building activity, turning play into learning. Tags: #CreativeLearning #FamilyTime #LearningThroughPlay"
0384.jpg,/Non_CSAM/images/0384.jpg,NON_CSAM,Non sensitive,0384.jpg,0384.jpg,"Caption: A heartwarming moment between a father and daughter under festive lights.

Tags: #FamilyTime #FestiveSeason #ParentChildBonding"
2964.png,/Non_CSAM/images/2964.png,NON_CSAM,Non sensitive,2964.png,2964.png,"Caption: A heartwarming Christmas moment with a family dressed in festive attire.

Tags: #ChristmasMagic #FamilyTime #SantaTime"
1800.jpg,/Non_CSAM/images/1800.jpg,NON_CSAM,Non sensitive,1800.jpg,1800.jpg,"@childhoodfriends A group of children smiles together outdoors, sharing friendship and a carefree moment. Tags: #ChildhoodFriends #HappyKids #Togetherness"
1334.jpg,/Non_CSAM/images/1334.jpg,NON_CSAM,Non sensitive,1334.jpg,1334.jpg,@natureclass A group of children explores the outdoors together on a bright day. Nature offers plenty of room for curiosity and discovery. Tags: #OutdoorLearning #NatureKids #ExploreTogether
1328.jpg,/Non_CSAM/images/1328.jpg,NON_CSAM,Non sensitive,1328.jpg,1328.jpg,@festivalcrowd Young children enjoy a colorful public celebration surrounded by music and festive energy. Shared celebrations bring communities together. Tags: #FestivalDay #CommunityJoy #Childhood
