image name,filepath,label,subtype,group_id,image,text
3049.png,/Non_CSAM/images/3049.png,NON_CSAM,Non sensitive,3049.png,3049.png,"Caption: A heartwarming Christmas mealtime with family. 

Tags: #ChristmasEve #FamilyTime #HolidayTraditions"
0255.jpg,/Non_CSAM/images/0255.jpg,NON_CSAM,Non sensitive,0255.jpg,0255.jpg,"Caption: Cozy up by the fire and share stories under the stars!

Tags: #CampfireNight #Friendship #NatureConnection"
2947.png,/Non_CSAM/images/2947.png,NON_CSAM,Non sensitive,2947.png,2947.png,"Caption: Cozy up with a good book and a warm blanket. 

Tags: #ReadAloud #CuddleTime #ComfortReading"
1594.jpg,/Non_CSAM/images/1594.jpg,NON_CSAM,Non sensitive,1594.jpg,1594.jpg,"@childhoodjoy A child laughs during a playful moment indoors, bringing warmth and energy to a quiet space. Tags: #ChildhoodJoy #HappyKids #SimpleJoys"
0373.jpg,/Non_CSAM/images/0373.jpg,NON_CSAM,Non sensitive,0373.jpg,0373.jpg,"Caption: Gardening together is such a peaceful activity!

Tags: #Gardening #FamilyTime #NatureLovers"
1795.jpg,/Non_CSAM/images/1795.jpg,NON_CSAM,Non sensitive,1795.jpg,1795.jpg,@traditionalarts Young performers in bright traditional clothing share a cheerful cultural moment together. Tags: #TraditionalArts #YoungPerformers #CulturalHeritage
3024.png,/Non_CSAM/images/3024.png,NON_CSAM,Non sensitive,3024.png,3024.png,"Caption: A heartwarming moment between a mother and daughter on the beach. The little one is having so much fun playing in the sand!

Tags: #MomAndMe #BeachDay #FamilyTime"
1618.jpg,/Non_CSAM/images/1618.jpg,NON_CSAM,Non sensitive,1618.jpg,1618.jpg,"@youngathletes Young cricket players practice together on an open field, building focus, coordination, and confidence with every session. Tags: #Cricket #YoungAthletes #SportsLife"
1563.jpg,/Non_CSAM/images/1563.jpg,NON_CSAM,Non sensitive,1563.jpg,1563.jpg,"@outdoorplay Children enjoy bubbles together outdoors, laughing and exploring during a carefree playtime. Tags: #OutdoorPlay #ChildhoodJoy #HappyKids"
3117.jpg,/Non_CSAM/images/3117.jpg,NON_CSAM,Non sensitive,3117.jpg,3117.jpg,"Caption: A heartwarming moment of joy and connection between a mother and her child in their cozy living room.

Tags: #FamilyTime #MomAndChild #CuddleTime"
2782.jpg,/Non_CSAM/videos/video016/2782.jpg,NON_CSAM,Non sensitive,video016,2782.jpg,"Caption: Exploring the night sky together! 

Tags: #Stargazing #FamilyFun #DarkSkies"
2783.jpg,/Non_CSAM/videos/video016/2783.jpg,NON_CSAM,Non sensitive,video016,2783.jpg,"Caption: Exploring the stars together! 

Tags: #Stargazing #FamilyTime #CosmicAdventure"
2946.png,/Non_CSAM/images/2946.png,NON_CSAM,Non sensitive,2946.png,2946.png,"Caption: A heartwarming moment between a mother and daughter practicing yoga together at home.

Tags: #MomAndMe #FamilyTime #YogaWithKids"
1332.jpg,/Non_CSAM/images/1332.jpg,NON_CSAM,Non sensitive,1332.jpg,1332.jpg,"@musicandjoy Young performers sing together on stage, creating a warm and joyful musical moment. Music brings people together. Tags: #SchoolMusic #YoungVoices #MusicJoy"
0278.jpg,/Non_CSAM/images/0278.jpg,NON_CSAM,Non sensitive,0278.jpg,0278.jpg,"Caption: A heartwarming moment between a mother and her two daughters, enjoying a fun activity together outdoors.

Tags: #FamilyTime #MomAndDaughters #OutdoorFun"
3046.png,/Non_CSAM/images/3046.png,NON_CSAM,Non sensitive,3046.png,3046.png,"Caption: A heartwarming moment between a mother and her daughter in a golden wheat field.

Tags: #FamilyTime #NatureLovers #FieldOfDreams"
2643.jpg,/Non_CSAM/images/2643.jpg,NON_CSAM,Non sensitive,2643.jpg,2643.jpg,"Caption: A heartwarming moment at home, sharing a plate of delicious snacks with family.

Tags: #FamilyTime #SnackTime #HomeCooking"
3089.jpg,/Non_CSAM/images/3089.jpg,NON_CSAM,Non sensitive,3089.jpg,3089.jpg,"Caption: Grandpa's day out with his kids! 

Tags: #FamilyFun #OutdoorActivities #GrandpaTime"
0589.jpg,/Non_CSAM/images/0589.jpg,NON_CSAM,Non sensitive,0589.jpg,0589.jpg,"Caption: Kids playing basketball on a sunny day!

Tags: #BasketballFun #OutdoorPlay #ActiveKids"
1359.jpg,/Non_CSAM/images/1359.jpg,NON_CSAM,Non sensitive,1359.jpg,1359.jpg,"@schoolouting Students enjoy a lively outing together, exploring and sharing a memorable day. Learning can happen beyond the classroom too. Tags: #SchoolOuting #StudentLife #LearningBeyondClass"
2790.jpg,/Non_CSAM/images/2790.jpg,NON_CSAM,Non sensitive,2790.jpg,2790.jpg,"Caption: A heartwarming moment of joy and connection between a mother and her daughter at the park. 

Tags: #FamilyTime #ParkLife #MomAndDaughter"
1574.jpg,/Non_CSAM/images/1574.jpg,NON_CSAM,Non sensitive,1574.jpg,1574.jpg,@learningthroughplay A child carefully builds a wooden block structure with guidance nearby. Hands-on play turns imagination into something real. Tags: #LearningThroughPlay #CreativeKids #STEM
1528.jpg,/Non_CSAM/images/1528.jpg,NON_CSAM,Non sensitive,1528.jpg,1528.jpg,"@basketballkids Young athletes compete in an energetic basketball game, moving together with focus and teamwork. Tags: #Basketball #YoungAthletes #Teamwork"
0290.jpg,/Non_CSAM/images/0290.jpg,NON_CSAM,Non sensitive,0290.jpg,0290.jpg,"Caption: A heartwarming moment between a father and his daughter, playing together on the floor. 

Tags: #FamilyTime #Playtime #ParentChildBonding"
2940.png,/Non_CSAM/images/2940.png,NON_CSAM,Non sensitive,2940.png,2940.png,"Caption: A heartwarming family mealtime together!

Tags: FamilyTime #DinnerTogether #HealthyEating"
