image name,filepath,label,subtype,group_id,text
3117.jpg,/Non_CSAM/images/3117.jpg,NON_CSAM,Non sensitive,3117.jpg,
1331.jpg,/Non_CSAM/images/1331.jpg,NON_CSAM,Non sensitive,1331.jpg,
2790.jpg,/Non_CSAM/images/2790.jpg,NON_CSAM,Non sensitive,2790.jpg,
1768.jpg,/Non_CSAM/images/1768.jpg,NON_CSAM,Non sensitive,1768.jpg,
1334.jpg,/Non_CSAM/images/1334.jpg,NON_CSAM,Non sensitive,1334.jpg,
0584.jpg,/Non_CSAM/images/0584.jpg,NON_CSAM,Non sensitive,0584.jpg,
0400.jpg,/Non_CSAM/images/0400.jpg,NON_CSAM,Non sensitive,0400.jpg,
1523.jpg,/Non_CSAM/images/1523.jpg,NON_CSAM,Non sensitive,1523.jpg,
1466.jpg,/Non_CSAM/images/1466.jpg,NON_CSAM,Non sensitive,1466.jpg,
2791.jpg,/Non_CSAM/images/2791.jpg,NON_CSAM,Non sensitive,2791.jpg,
0043.webp,/Non_CSAM/images/0043.webp,NON_CSAM,Non sensitive,0043.webp,
0501.jpg,/Non_CSAM/images/0501.jpg,NON_CSAM,Non sensitive,0501.jpg,
0147.jpg,/Non_CSAM/images/0147.jpg,NON_CSAM,Non sensitive,0147.jpg,
1747.jpg,/Non_CSAM/images/1747.jpg,NON_CSAM,Non sensitive,1747.jpg,
0673.jpg,/Non_CSAM/images/0673.jpg,NON_CSAM,Non sensitive,0673.jpg,
3030.png,/Non_CSAM/images/3030.png,NON_CSAM,Non sensitive,3030.png,
1612.jpg,/Non_CSAM/images/1612.jpg,NON_CSAM,Non sensitive,1612.jpg,
2953.png,/Non_CSAM/images/2953.png,NON_CSAM,Non sensitive,2953.png,
2821.jpg,/Non_CSAM/images/2821.jpg,NON_CSAM,Non sensitive,2821.jpg,
3011.png,/Non_CSAM/images/3011.png,NON_CSAM,Non sensitive,3011.png,
2646.jpg,/Non_CSAM/images/2646.jpg,NON_CSAM,Non sensitive,2646.jpg,
0028.jpeg,/Non_CSAM/images/0028.jpeg,NON_CSAM,Non sensitive,0028.jpeg,
0790.jpg,/Non_CSAM/images/0790.jpg,NON_CSAM,Non sensitive,0790.jpg,
0410.jpg,/Non_CSAM/images/0410.jpg,NON_CSAM,Non sensitive,0410.jpg,
0541.jpg,/Non_CSAM/images/0541.jpg,NON_CSAM,Non sensitive,0541.jpg,
0716.webp,/Non_CSAM/images/0716.webp,NON_CSAM,Non sensitive,0716.webp,
1559.jpg,/Non_CSAM/images/1559.jpg,NON_CSAM,Non sensitive,1559.jpg,
0788.webp,/Non_CSAM/images/0788.webp,NON_CSAM,Non sensitive,0788.webp,
0403.jpg,/Non_CSAM/images/0403.jpg,NON_CSAM,Non sensitive,0403.jpg,
2859.png,/Non_CSAM/images/2859.png,NON_CSAM,Non sensitive,2859.png,
1762.jpg,/Non_CSAM/images/1762.jpg,NON_CSAM,Non sensitive,1762.jpg,
0764.webp,/Non_CSAM/images/0764.webp,NON_CSAM,Non sensitive,0764.webp,
0561.jpg,/Non_CSAM/images/0561.jpg,NON_CSAM,Non sensitive,0561.jpg,
1386.jpg,/Non_CSAM/images/1386.jpg,NON_CSAM,Non sensitive,1386.jpg,
2852.png,/Non_CSAM/images/2852.png,NON_CSAM,Non sensitive,2852.png,
2612.jpg,/Non_CSAM/images/2612.jpg,NON_CSAM,Non sensitive,2612.jpg,
0361.jpg,/Non_CSAM/images/0361.jpg,NON_CSAM,Non sensitive,0361.jpg,
0507.jpg,/Non_CSAM/images/0507.jpg,NON_CSAM,Non sensitive,0507.jpg,
0394.jpg,/Non_CSAM/images/0394.jpg,NON_CSAM,Non sensitive,0394.jpg,
2719.jpg,/Non_CSAM/images/2719.jpg,NON_CSAM,Non sensitive,2719.jpg,
2818.jpg,/Non_CSAM/images/2818.jpg,NON_CSAM,Non sensitive,2818.jpg,
1572.jpg,/Non_CSAM/images/1572.jpg,NON_CSAM,Non sensitive,1572.jpg,
1533.jpg,/Non_CSAM/images/1533.jpg,NON_CSAM,Non sensitive,1533.jpg,
2807.jpg,/Non_CSAM/images/2807.jpg,NON_CSAM,Non sensitive,2807.jpg,
3067.jpg,/Non_CSAM/images/3067.jpg,NON_CSAM,Non sensitive,3067.jpg,
1529.jpg,/Non_CSAM/images/1529.jpg,NON_CSAM,Non sensitive,1529.jpg,
1490.jpg,/Non_CSAM/images/1490.jpg,NON_CSAM,Non sensitive,1490.jpg,
0596.jpg,/Non_CSAM/images/0596.jpg,NON_CSAM,Non sensitive,0596.jpg,
1418.jpg,/Non_CSAM/images/1418.jpg,NON_CSAM,Non sensitive,1418.jpg,
0687.jpg,/Non_CSAM/images/0687.jpg,NON_CSAM,Non sensitive,0687.jpg,
0265.jpg,/Non_CSAM/images/0265.jpg,NON_CSAM,Non sensitive,0265.jpg,
1353.jpg,/Non_CSAM/images/1353.jpg,NON_CSAM,Non sensitive,1353.jpg,
1761.jpg,/Non_CSAM/images/1761.jpg,NON_CSAM,Non sensitive,1761.jpg,
3090.jpg,/Non_CSAM/images/3090.jpg,NON_CSAM,Non sensitive,3090.jpg,
1525.jpg,/Non_CSAM/images/1525.jpg,NON_CSAM,Non sensitive,1525.jpg,
1742.jpg,/Non_CSAM/images/1742.jpg,NON_CSAM,Non sensitive,1742.jpg,
2609.jpg,/Non_CSAM/images/2609.jpg,NON_CSAM,Non sensitive,2609.jpg,
3082.jpg,/Non_CSAM/images/3082.jpg,NON_CSAM,Non sensitive,3082.jpg,
0117.jpg,/Non_CSAM/images/0117.jpg,NON_CSAM,Non sensitive,0117.jpg,
0779.webp,/Non_CSAM/images/0779.webp,NON_CSAM,Non sensitive,0779.webp,
1516.jpg,/Non_CSAM/images/1516.jpg,NON_CSAM,Non sensitive,1516.jpg,
1765.jpg,/Non_CSAM/images/1765.jpg,NON_CSAM,Non sensitive,1765.jpg,
3106.jpg,/Non_CSAM/images/3106.jpg,NON_CSAM,Non sensitive,3106.jpg,
1798.jpg,/Non_CSAM/images/1798.jpg,NON_CSAM,Non sensitive,1798.jpg,
2664.jpg,/Non_CSAM/images/2664.jpg,NON_CSAM,Non sensitive,2664.jpg,
3101.jpg,/Non_CSAM/images/3101.jpg,NON_CSAM,Non sensitive,3101.jpg,
1460.jpg,/Non_CSAM/images/1460.jpg,NON_CSAM,Non sensitive,1460.jpg,
0728.webp,/Non_CSAM/images/0728.webp,NON_CSAM,Non sensitive,0728.webp,
2589.jpg,/Non_CSAM/images/2589.jpg,NON_CSAM,Non sensitive,2589.jpg,
2635.jpg,/Non_CSAM/images/2635.jpg,NON_CSAM,Non sensitive,2635.jpg,
0011.webp,/Non_CSAM/images/0011.webp,NON_CSAM,Non sensitive,0011.webp,
0032.webp,/Non_CSAM/images/0032.webp,NON_CSAM,Non sensitive,0032.webp,
1643.jpg,/Non_CSAM/images/1643.jpg,NON_CSAM,Non sensitive,1643.jpg,
2586.jpg,/Non_CSAM/images/2586.jpg,NON_CSAM,Non sensitive,2586.jpg,
0637.jpg,/Non_CSAM/images/0637.jpg,NON_CSAM,Non sensitive,0637.jpg,
2571.jpg,/Non_CSAM/images/2571.jpg,NON_CSAM,Non sensitive,2571.jpg,
1748.jpg,/Non_CSAM/images/1748.jpg,NON_CSAM,Non sensitive,1748.jpg,
0498.jpg,/Non_CSAM/images/0498.jpg,NON_CSAM,Non sensitive,0498.jpg,
3097.jpg,/Non_CSAM/images/3097.jpg,NON_CSAM,Non sensitive,3097.jpg,
2819.jpg,/Non_CSAM/images/2819.jpg,NON_CSAM,Non sensitive,2819.jpg,
3012.png,/Non_CSAM/images/3012.png,NON_CSAM,Non sensitive,3012.png,
2634.jpg,/Non_CSAM/images/2634.jpg,NON_CSAM,Non sensitive,2634.jpg,
1813.jpg,/Non_CSAM/images/1813.jpg,NON_CSAM,Non sensitive,1813.jpg,
2980.png,/Non_CSAM/images/2980.png,NON_CSAM,Non sensitive,2980.png,
0309.jpg,/Non_CSAM/images/0309.jpg,NON_CSAM,Non sensitive,0309.jpg,
1776.jpg,/Non_CSAM/images/1776.jpg,NON_CSAM,Non sensitive,1776.jpg,
0023.jpeg,/Non_CSAM/images/0023.jpeg,NON_CSAM,Non sensitive,0023.jpeg,
0213.jpg,/Non_CSAM/images/0213.jpg,NON_CSAM,Non sensitive,0213.jpg,
1358.jpg,/Non_CSAM/images/1358.jpg,NON_CSAM,Non sensitive,1358.jpg,
2877.png,/Non_CSAM/images/2877.png,NON_CSAM,Non sensitive,2877.png,
2701.jpg,/Non_CSAM/images/2701.jpg,NON_CSAM,Non sensitive,2701.jpg,
0260.jpg,/Non_CSAM/images/0260.jpg,NON_CSAM,Non sensitive,0260.jpg,
0081.jpg,/Non_CSAM/images/0081.jpg,NON_CSAM,Non sensitive,0081.jpg,
0058.webp,/Non_CSAM/images/0058.webp,NON_CSAM,Non sensitive,0058.webp,
0322.jpg,/Non_CSAM/images/0322.jpg,NON_CSAM,Non sensitive,0322.jpg,
1534.jpg,/Non_CSAM/images/1534.jpg,NON_CSAM,Non sensitive,1534.jpg,
0355.jpg,/Non_CSAM/images/0355.jpg,NON_CSAM,Non sensitive,0355.jpg,
1472.jpg,/Non_CSAM/images/1472.jpg,NON_CSAM,Non sensitive,1472.jpg,
2844.png,/Non_CSAM/images/2844.png,NON_CSAM,Non sensitive,2844.png,
1656.jpg,/Non_CSAM/videos/video010/1656.jpg,NON_CSAM,Non sensitive,video010,
1657.jpg,/Non_CSAM/videos/video010/1657.jpg,NON_CSAM,Non sensitive,video010,
1658.jpg,/Non_CSAM/videos/video010/1658.jpg,NON_CSAM,Non sensitive,video010,
1352.jpg,/Non_CSAM/images/1352.jpg,NON_CSAM,Non sensitive,1352.jpg,
0535.jpg,/Non_CSAM/images/0535.jpg,NON_CSAM,Non sensitive,0535.jpg,
3080.jpg,/Non_CSAM/images/3080.jpg,NON_CSAM,Non sensitive,3080.jpg,
0499.jpg,/Non_CSAM/images/0499.jpg,NON_CSAM,Non sensitive,0499.jpg,
0639.jpg,/Non_CSAM/images/0639.jpg,NON_CSAM,Non sensitive,0639.jpg,
1719.jpg,/Non_CSAM/images/1719.jpg,NON_CSAM,Non sensitive,1719.jpg,
2926.png,/Non_CSAM/images/2926.png,NON_CSAM,Non sensitive,2926.png,
0726.jpg,/Non_CSAM/images/0726.jpg,NON_CSAM,Non sensitive,0726.jpg,
0437.jpg,/Non_CSAM/images/0437.jpg,NON_CSAM,Non sensitive,0437.jpg,
1783.jpg,/Non_CSAM/images/1783.jpg,NON_CSAM,Non sensitive,1783.jpg,
1476.jpg,/Non_CSAM/images/1476.jpg,NON_CSAM,Non sensitive,1476.jpg,
1590.jpg,/Non_CSAM/images/1590.jpg,NON_CSAM,Non sensitive,1590.jpg,
0706.jpg,/Non_CSAM/images/0706.jpg,NON_CSAM,Non sensitive,0706.jpg,
0458.jpg,/Non_CSAM/images/0458.jpg,NON_CSAM,Non sensitive,0458.jpg,
1704.jpg,/Non_CSAM/images/1704.jpg,NON_CSAM,Non sensitive,1704.jpg,
0628.jpg,/Non_CSAM/images/0628.jpg,NON_CSAM,Non sensitive,0628.jpg,
2995.png,/Non_CSAM/images/2995.png,NON_CSAM,Non sensitive,2995.png,
2998.png,/Non_CSAM/images/2998.png,NON_CSAM,Non sensitive,2998.png,
0495.jpg,/Non_CSAM/images/0495.jpg,NON_CSAM,Non sensitive,0495.jpg,
1416.jpg,/Non_CSAM/images/1416.jpg,NON_CSAM,Non sensitive,1416.jpg,
0179.jpg,/Non_CSAM/images/0179.jpg,NON_CSAM,Non sensitive,0179.jpg,
0311.jpg,/Non_CSAM/images/0311.jpg,NON_CSAM,Non sensitive,0311.jpg,
0314.jpg,/Non_CSAM/images/0314.jpg,NON_CSAM,Non sensitive,0314.jpg,
2720.jpg,/Non_CSAM/images/2720.jpg,NON_CSAM,Non sensitive,2720.jpg,
0656.jpg,/Non_CSAM/images/0656.jpg,NON_CSAM,Non sensitive,0656.jpg,
0640.jpg,/Non_CSAM/images/0640.jpg,NON_CSAM,Non sensitive,0640.jpg,
2601.jpg,/Non_CSAM/images/2601.jpg,NON_CSAM,Non sensitive,2601.jpg,
0469.jpg,/Non_CSAM/images/0469.jpg,NON_CSAM,Non sensitive,0469.jpg,
1595.jpg,/Non_CSAM/images/1595.jpg,NON_CSAM,Non sensitive,1595.jpg,
0088.jpg,/Non_CSAM/images/0088.jpg,NON_CSAM,Non sensitive,0088.jpg,
0162.jpg,/Non_CSAM/images/0162.jpg,NON_CSAM,Non sensitive,0162.jpg,
0519.jpg,/Non_CSAM/images/0519.jpg,NON_CSAM,Non sensitive,0519.jpg,
0426.jpg,/Non_CSAM/images/0426.jpg,NON_CSAM,Non sensitive,0426.jpg,
0109.jpg,/Non_CSAM/images/0109.jpg,NON_CSAM,Non sensitive,0109.jpg,
1597.jpg,/Non_CSAM/images/1597.jpg,NON_CSAM,Non sensitive,1597.jpg,
0669.jpg,/Non_CSAM/images/0669.jpg,NON_CSAM,Non sensitive,0669.jpg,
2711.jpg,/Non_CSAM/images/2711.jpg,NON_CSAM,Non sensitive,2711.jpg,
2843.png,/Non_CSAM/images/2843.png,NON_CSAM,Non sensitive,2843.png,
1672.jpg,/Non_CSAM/images/1672.jpg,NON_CSAM,Non sensitive,1672.jpg,
0619.jpg,/Non_CSAM/images/0619.jpg,NON_CSAM,Non sensitive,0619.jpg,
1721.jpg,/Non_CSAM/images/1721.jpg,NON_CSAM,Non sensitive,1721.jpg,
2584.jpg,/Non_CSAM/images/2584.jpg,NON_CSAM,Non sensitive,2584.jpg,
2809.jpg,/Non_CSAM/images/2809.jpg,NON_CSAM,Non sensitive,2809.jpg,
0695.jpg,/Non_CSAM/images/0695.jpg,NON_CSAM,Non sensitive,0695.jpg,
1777.jpg,/Non_CSAM/images/1777.jpg,NON_CSAM,Non sensitive,1777.jpg,
0018.webp,/Non_CSAM/images/0018.webp,NON_CSAM,Non sensitive,0018.webp,
1551.jpg,/Non_CSAM/images/1551.jpg,NON_CSAM,Non sensitive,1551.jpg,
2872.png,/Non_CSAM/images/2872.png,NON_CSAM,Non sensitive,2872.png,
1487.jpg,/Non_CSAM/images/1487.jpg,NON_CSAM,Non sensitive,1487.jpg,
0229.jpg,/Non_CSAM/images/0229.jpg,NON_CSAM,Non sensitive,0229.jpg,
0727.webp,/Non_CSAM/images/0727.webp,NON_CSAM,Non sensitive,0727.webp,
0165.jpg,/Non_CSAM/images/0165.jpg,NON_CSAM,Non sensitive,0165.jpg,
2961.png,/Non_CSAM/images/2961.png,NON_CSAM,Non sensitive,2961.png,
2734.jpg,/Non_CSAM/images/2734.jpg,NON_CSAM,Non sensitive,2734.jpg,
2935.png,/Non_CSAM/images/2935.png,NON_CSAM,Non sensitive,2935.png,
0685.jpg,/Non_CSAM/images/0685.jpg,NON_CSAM,Non sensitive,0685.jpg,
0686.jpg,/Non_CSAM/images/0686.jpg,NON_CSAM,Non sensitive,0686.jpg,
3105.jpg,/Non_CSAM/images/3105.jpg,NON_CSAM,Non sensitive,3105.jpg,
0704.jpg,/Non_CSAM/images/0704.jpg,NON_CSAM,Non sensitive,0704.jpg,
2893.png,/Non_CSAM/images/2893.png,NON_CSAM,Non sensitive,2893.png,
0574.jpg,/Non_CSAM/images/0574.jpg,NON_CSAM,Non sensitive,0574.jpg,
3064.jpg,/Non_CSAM/images/3064.jpg,NON_CSAM,Non sensitive,3064.jpg,
1336.jpg,/Non_CSAM/images/1336.jpg,NON_CSAM,Non sensitive,1336.jpg,
1500.jpg,/Non_CSAM/images/1500.jpg,NON_CSAM,Non sensitive,1500.jpg,
2878.png,/Non_CSAM/images/2878.png,NON_CSAM,Non sensitive,2878.png,
0175.jpg,/Non_CSAM/images/0175.jpg,NON_CSAM,Non sensitive,0175.jpg,
0670.jpg,/Non_CSAM/images/0670.jpg,NON_CSAM,Non sensitive,0670.jpg,
0572.jpg,/Non_CSAM/images/0572.jpg,NON_CSAM,Non sensitive,0572.jpg,
0546.jpg,/Non_CSAM/images/0546.jpg,NON_CSAM,Non sensitive,0546.jpg,
1417.jpg,/Non_CSAM/images/1417.jpg,NON_CSAM,Non sensitive,1417.jpg,
1579.jpg,/Non_CSAM/images/1579.jpg,NON_CSAM,Non sensitive,1579.jpg,
3112.jpg,/Non_CSAM/images/3112.jpg,NON_CSAM,Non sensitive,3112.jpg,
2934.png,/Non_CSAM/images/2934.png,NON_CSAM,Non sensitive,2934.png,
2879.png,/Non_CSAM/images/2879.png,NON_CSAM,Non sensitive,2879.png,
2898.png,/Non_CSAM/images/2898.png,NON_CSAM,Non sensitive,2898.png,
1736.jpg,/Non_CSAM/images/1736.jpg,NON_CSAM,Non sensitive,1736.jpg,
2796.jpg,/Non_CSAM/images/2796.jpg,NON_CSAM,Non sensitive,2796.jpg,
2829.png,/Non_CSAM/images/2829.png,NON_CSAM,Non sensitive,2829.png,
0684.jpg,/Non_CSAM/images/0684.jpg,NON_CSAM,Non sensitive,0684.jpg,
0419.jpg,/Non_CSAM/images/0419.jpg,NON_CSAM,Non sensitive,0419.jpg,
2587.jpg,/Non_CSAM/images/2587.jpg,NON_CSAM,Non sensitive,2587.jpg,
1941.jpg,/CSAM_non_sens/images/1941.jpg,CSAM,Non sensitive,1941.jpg,
